operation,amount,time
addition,100000,32530
addition,100000,31478
addition,100000,31722
addition,100000,31663
addition,100000,30978
addition,100000,31630
addition,100000,31854
addition,100000,31393
addition,100000,31378
addition,100000,35293
substraction,100000,31184
substraction,100000,30711
substraction,100000,31667
substraction,100000,32320
substraction,100000,34510
substraction,100000,30677
substraction,100000,30159
substraction,100000,29847
substraction,100000,30082
substraction,100000,31535
multiplication,100000,30296
multiplication,100000,31141
multiplication,100000,30850
multiplication,100000,31192
multiplication,100000,31274
multiplication,100000,30546
multiplication,100000,30785
multiplication,100000,30624
multiplication,100000,30707
multiplication,100000,31729
division,100000,30625
division,100000,32739
division,100000,30501
division,100000,32527
division,100000,31541
division,100000,31231
division,100000,32052
division,100000,30552
division,100000,31284
division,100000,35125
smaller than,100000,31515
smaller than,100000,28970
smaller than,100000,29880
smaller than,100000,29616
smaller than,100000,29731
smaller than,100000,29903
smaller than,100000,33355
smaller than,100000,29601
smaller than,100000,30337
smaller than,100000,29497
greater than,100000,29581
greater than,100000,29215
greater than,100000,30985
greater than,100000,35667
greater than,100000,29939
greater than,100000,29726
greater than,100000,31705
greater than,100000,29433
greater than,100000,29225
greater than,100000,29979
equals,100000,29884
equals,100000,32487
equals,100000,29218
equals,100000,30002
equals,100000,30230
equals,100000,29189
equals,100000,30341
equals,100000,28791
equals,100000,30547
equals,100000,29485
not equals,100000,29609
not equals,100000,29766
not equals,100000,30373
not equals,100000,30501
not equals,100000,29931
not equals,100000,29189
not equals,100000,29102
not equals,100000,28661
not equals,100000,30381
not equals,100000,28647
isPrime,100000,45602
isPrime,100000,46035
isPrime,100000,47060
isPrime,100000,46025
isPrime,100000,46408
isPrime,100000,45751
isPrime,100000,46356
isPrime,100000,46432
isPrime,100000,45536
isPrime,100000,45680
sin,100000,43919
sin,100000,44101
sin,100000,44410
sin,100000,45333
sin,100000,44520
sin,100000,45697
sin,100000,44506
sin,100000,45746
sin,100000,46153
sin,100000,43923
tan,100000,46948
tan,100000,44727
tan,100000,43782
tan,100000,43266
tan,100000,43045
tan,100000,44144
tan,100000,43823
tan,100000,43288
tan,100000,43703
tan,100000,43760
rand,100000,103574
rand,100000,97867
rand,100000,99498
rand,100000,100767
rand,100000,103517
rand,100000,105963
rand,100000,99500
rand,100000,98586
rand,100000,97641
rand,100000,99054
fib,100000,62307
fib,100000,61903
fib,100000,65891
fib,100000,62322
fib,100000,62137
fib,100000,62929
fib,100000,62235
fib,100000,62482
fib,100000,62639
fib,100000,62971
pow,100000,54503
pow,100000,54497
pow,100000,58628
pow,100000,54172
pow,100000,53462
pow,100000,53551
pow,100000,53916
pow,100000,55464
pow,100000,54587
pow,100000,60486
len,100000,43180
len,100000,44524
len,100000,44977
len,100000,43638
len,100000,48821
len,100000,45155
len,100000,44211
len,100000,43898
len,100000,43886
len,100000,44110
sqrt,100000,43274
sqrt,100000,43028
sqrt,100000,42288
sqrt,100000,42364
sqrt,100000,42186
sqrt,100000,43215
sqrt,100000,43392
sqrt,100000,42504
sqrt,100000,43516
sqrt,100000,46181
concat,100000,45703
concat,100000,47949
concat,100000,43406
concat,100000,43780
concat,100000,44609
concat,100000,48363
concat,100000,43170
concat,100000,44169
concat,100000,44131
concat,100000,43946
addition,100000,30226
addition,100000,30309
addition,100000,32352
addition,100000,31322
addition,100000,30045
addition,100000,31171
addition,100000,31514
addition,100000,30866
addition,100000,30317
addition,100000,31459
substraction,100000,30953
substraction,100000,30382
substraction,100000,30335
substraction,100000,29535
substraction,100000,30185
substraction,100000,30335
substraction,100000,31403
substraction,100000,31029
substraction,100000,29675
substraction,100000,33516
multiplication,100000,32293
multiplication,100000,30339
multiplication,100000,32052
multiplication,100000,31373
multiplication,100000,34637
multiplication,100000,31289
multiplication,100000,31237
multiplication,100000,31556
multiplication,100000,31213
multiplication,100000,29910
division,100000,31466
division,100000,30476
division,100000,31622
division,100000,31853
division,100000,30974
division,100000,30509
division,100000,30683
division,100000,31290
division,100000,30858
division,100000,30576
smaller than,100000,30946
smaller than,100000,29952
smaller than,100000,29932
smaller than,100000,30248
smaller than,100000,30163
smaller than,100000,29764
smaller than,100000,29168
smaller than,100000,29798
smaller than,100000,30586
smaller than,100000,29878
greater than,100000,30647
greater than,100000,34868
greater than,100000,29072
greater than,100000,30354
greater than,100000,30095
greater than,100000,29837
greater than,100000,30218
greater than,100000,29878
greater than,100000,29986
greater than,100000,30120
equals,100000,30156
equals,100000,31208
equals,100000,29160
equals,100000,29989
equals,100000,29258
equals,100000,28669
equals,100000,30489
equals,100000,29689
equals,100000,29087
equals,100000,29117
not equals,100000,30743
not equals,100000,29219
not equals,100000,29066
not equals,100000,29484
not equals,100000,29657
not equals,100000,29863
not equals,100000,30665
not equals,100000,30741
not equals,100000,29504
not equals,100000,30453
isPrime,100000,47108
isPrime,100000,46592
isPrime,100000,46461
isPrime,100000,45702
isPrime,100000,47162
isPrime,100000,46626
isPrime,100000,46830
isPrime,100000,49534
isPrime,100000,45871
isPrime,100000,45358
sin,100000,45589
sin,100000,48033
sin,100000,43961
sin,100000,44703
sin,100000,44202
sin,100000,44370
sin,100000,44337
sin,100000,44177
sin,100000,44608
sin,100000,44286
tan,100000,46533
tan,100000,43385
tan,100000,42992
tan,100000,43528
tan,100000,43476
tan,100000,47594
tan,100000,44864
tan,100000,42895
tan,100000,43698
tan,100000,43404
rand,100000,99093
rand,100000,101719
rand,100000,100381
rand,100000,99645
rand,100000,99599
rand,100000,102262
rand,100000,99091
rand,100000,100100
rand,100000,99947
rand,100000,100999
fib,100000,64619
fib,100000,62640
fib,100000,72668
fib,100000,63081
fib,100000,62782
fib,100000,62230
fib,100000,62542
fib,100000,63496
fib,100000,63516
fib,100000,63370
pow,100000,56916
pow,100000,54319
pow,100000,59966
pow,100000,54214
pow,100000,54584
pow,100000,55972
pow,100000,56526
pow,100000,54922
pow,100000,55424
pow,100000,61550
len,100000,44017
len,100000,45038
len,100000,43653
len,100000,47408
len,100000,45127
len,100000,43721
len,100000,44135
len,100000,43723
len,100000,43051
len,100000,43882
sqrt,100000,43281
sqrt,100000,41623
sqrt,100000,41228
sqrt,100000,41960
sqrt,100000,41967
sqrt,100000,41846
sqrt,100000,41897
sqrt,100000,45928
sqrt,100000,42396
sqrt,100000,42203
concat,100000,50725
concat,100000,44921
concat,100000,43261
concat,100000,44967
concat,100000,43372
concat,100000,47365
concat,100000,43976
concat,100000,43752
concat,100000,43829
concat,100000,48212
