operation,amount,time
addition,2000000,1327319
addition,2000000,1247705
addition,2000000,1246304
addition,2000000,1256721
addition,2000000,1244044
addition,2000000,1247774
addition,2000000,1247091
addition,2000000,1222948
addition,2000000,1324411
addition,2000000,1223292
addition,2000000,1211510
addition,2000000,1260809
addition,2000000,1251493
addition,2000000,1264668
addition,2000000,1263248
addition,2000000,1284711
addition,2000000,1242828
addition,2000000,1207480
addition,2000000,1215183
addition,2000000,1236645
addition,2000000,1276803
addition,2000000,1265435
addition,2000000,1266257
addition,2000000,1274511
addition,2000000,1247370
addition,2000000,1265046
addition,2000000,1245901
addition,2000000,1329286
addition,2000000,1249367
addition,2000000,1257158
addition,2000000,1247359
addition,2000000,1260382
addition,2000000,1245013
addition,2000000,1295150
addition,2000000,1238669
addition,2000000,1239630
addition,2000000,1259800
addition,2000000,1247613
addition,2000000,1246944
addition,2000000,1221811
addition,2000000,1243853
addition,2000000,1254808
addition,2000000,1274629
addition,2000000,1255380
addition,2000000,1248557
addition,2000000,1335662
addition,2000000,1285577
addition,2000000,1249820
addition,2000000,1264173
addition,2000000,1245625
addition,2000000,1267413
addition,2000000,1248789
addition,2000000,1237498
addition,2000000,1235382
addition,2000000,1235169
addition,2000000,1229408
addition,2000000,1233547
addition,2000000,1250201
addition,2000000,1255412
addition,2000000,1253495
addition,2000000,1247277
addition,2000000,1246213
addition,2000000,1294961
addition,2000000,1272204
addition,2000000,1321818
addition,2000000,1233741
addition,2000000,1249720
addition,2000000,1248628
addition,2000000,1241579
addition,2000000,1244832
addition,2000000,1243452
addition,2000000,1215148
addition,2000000,1233588
addition,2000000,1238069
addition,2000000,1233643
addition,2000000,1245916
addition,2000000,1242279
addition,2000000,1247166
addition,2000000,1256204
addition,2000000,1251341
addition,2000000,1249503
addition,2000000,1251256
addition,2000000,1243994
addition,2000000,1360050
addition,2000000,1252899
addition,2000000,1248368
addition,2000000,1256254
addition,2000000,1236992
addition,2000000,1241433
addition,2000000,1210188
addition,2000000,1244607
addition,2000000,1231149
addition,2000000,1208699
addition,2000000,1204062
addition,2000000,1239735
addition,2000000,1254454
addition,2000000,1228880
addition,2000000,1234801
addition,2000000,1260866
addition,2000000,1247676
substraction,2000000,1324461
substraction,2000000,1285536
substraction,2000000,1238922
substraction,2000000,1247441
substraction,2000000,1251683
substraction,2000000,1261300
substraction,2000000,1264740
substraction,2000000,1256102
substraction,2000000,1247077
substraction,2000000,1258941
substraction,2000000,1250987
substraction,2000000,1230464
substraction,2000000,1235327
substraction,2000000,1252476
substraction,2000000,1244979
substraction,2000000,1260700
substraction,2000000,1270935
substraction,2000000,1271111
substraction,2000000,1334722
substraction,2000000,1268508
substraction,2000000,1243570
substraction,2000000,1256893
substraction,2000000,1255199
substraction,2000000,1229259
substraction,2000000,1245543
substraction,2000000,1228792
substraction,2000000,1236377
substraction,2000000,1254204
substraction,2000000,1250381
substraction,2000000,1250078
substraction,2000000,1240925
substraction,2000000,1244465
substraction,2000000,1219237
substraction,2000000,1212144
substraction,2000000,1208370
substraction,2000000,1255251
substraction,2000000,1247962
substraction,2000000,1321196
substraction,2000000,1268727
substraction,2000000,1244823
substraction,2000000,1242387
substraction,2000000,1253315
substraction,2000000,1245709
substraction,2000000,1262216
substraction,2000000,1252126
substraction,2000000,1243865
substraction,2000000,1242932
substraction,2000000,1261771
substraction,2000000,1251695
substraction,2000000,1249265
substraction,2000000,1235877
substraction,2000000,1246196
substraction,2000000,1249044
substraction,2000000,1233157
substraction,2000000,1289553
substraction,2000000,1231911
substraction,2000000,1312392
substraction,2000000,1243153
substraction,2000000,1247718
substraction,2000000,1265825
substraction,2000000,1286210
substraction,2000000,1240010
substraction,2000000,1276881
substraction,2000000,1246608
substraction,2000000,1254884
substraction,2000000,1235759
substraction,2000000,1239795
substraction,2000000,1235774
substraction,2000000,1246153
substraction,2000000,1247253
substraction,2000000,1241947
substraction,2000000,1247244
substraction,2000000,1248146
substraction,2000000,1238671
substraction,2000000,1238622
substraction,2000000,1327234
substraction,2000000,1245563
substraction,2000000,1241065
substraction,2000000,1247637
substraction,2000000,1233959
substraction,2000000,1230921
substraction,2000000,1223790
substraction,2000000,1248500
substraction,2000000,1229939
substraction,2000000,1224222
substraction,2000000,1244123
substraction,2000000,1250985
substraction,2000000,1254088
substraction,2000000,1253552
substraction,2000000,1244615
substraction,2000000,1288582
substraction,2000000,1258012
substraction,2000000,1239019
substraction,2000000,1240905
substraction,2000000,1322399
substraction,2000000,1244320
substraction,2000000,1267209
substraction,2000000,1244312
substraction,2000000,1240204
substraction,2000000,1246176
multiplication,2000000,1244947
multiplication,2000000,1257279
multiplication,2000000,1223482
multiplication,2000000,1243461
multiplication,2000000,1223565
multiplication,2000000,1261457
multiplication,2000000,1255333
multiplication,2000000,1254505
multiplication,2000000,1260504
multiplication,2000000,1242325
multiplication,2000000,1251779
multiplication,2000000,1248201
multiplication,2000000,1241055
multiplication,2000000,1253798
multiplication,2000000,1252240
multiplication,2000000,1223994
multiplication,2000000,1252898
multiplication,2000000,1238945
multiplication,2000000,1320628
multiplication,2000000,1251194
multiplication,2000000,1237768
multiplication,2000000,1235782
multiplication,2000000,1249363
multiplication,2000000,1251065
multiplication,2000000,1246637
multiplication,2000000,1235054
multiplication,2000000,1232897
multiplication,2000000,1253950
multiplication,2000000,1250400
multiplication,2000000,1247092
multiplication,2000000,1221536
multiplication,2000000,1258263
multiplication,2000000,1256448
multiplication,2000000,1246071
multiplication,2000000,1248546
multiplication,2000000,1224169
multiplication,2000000,1252553
multiplication,2000000,1350190
multiplication,2000000,1253233
multiplication,2000000,1242186
multiplication,2000000,1246621
multiplication,2000000,1246254
multiplication,2000000,1253852
multiplication,2000000,1243736
multiplication,2000000,1241749
multiplication,2000000,1250269
multiplication,2000000,1232052
multiplication,2000000,1237730
multiplication,2000000,1240225
multiplication,2000000,1253946
multiplication,2000000,1231937
multiplication,2000000,1250498
