operation,amount,time
addition,100000,35318
addition,100000,31484
addition,100000,31452
addition,100000,32215
addition,100000,32037
addition,100000,32004
addition,100000,31710
addition,100000,30476
addition,100000,30125
addition,100000,30496
substraction,100000,32534
substraction,100000,32766
substraction,100000,33085
substraction,100000,31824
substraction,100000,32892
substraction,100000,31538
substraction,100000,31752
substraction,100000,31609
substraction,100000,31042
substraction,100000,35388
multiplication,100000,31753
multiplication,100000,32523
multiplication,100000,30545
multiplication,100000,32265
multiplication,100000,35536
multiplication,100000,32557
multiplication,100000,31223
multiplication,100000,29633
multiplication,100000,30879
multiplication,100000,31454
division,100000,34943
division,100000,32715
division,100000,31443
division,100000,30900
division,100000,30763
division,100000,30353
division,100000,30787
division,100000,31376
division,100000,30831
division,100000,30649
smaller than,100000,33767
smaller than,100000,30639
smaller than,100000,31422
smaller than,100000,30896
smaller than,100000,31008
smaller than,100000,31056
smaller than,100000,32977
smaller than,100000,31973
smaller than,100000,33032
smaller than,100000,30046
greater than,100000,32526
greater than,100000,32862
greater than,100000,37140
greater than,100000,31898
greater than,100000,30516
greater than,100000,30735
greater than,100000,29749
greater than,100000,31051
greater than,100000,31139
greater than,100000,30991
equals,100000,34484
equals,100000,30436
equals,100000,30139
equals,100000,31303
equals,100000,32687
equals,100000,30208
equals,100000,29473
equals,100000,29476
equals,100000,31242
equals,100000,30650
not equals,100000,30649
not equals,100000,29766
not equals,100000,28987
not equals,100000,29889
not equals,100000,29281
not equals,100000,31057
not equals,100000,31868
not equals,100000,32088
not equals,100000,29653
not equals,100000,30175
isPrime,100000,49707
isPrime,100000,45706
isPrime,100000,47634
isPrime,100000,46645
isPrime,100000,48598
isPrime,100000,46439
isPrime,100000,47399
isPrime,100000,46133
isPrime,100000,50939
isPrime,100000,47002
sin,100000,48899
sin,100000,45877
sin,100000,50327
sin,100000,45794
sin,100000,44440
sin,100000,47609
sin,100000,45943
sin,100000,45865
sin,100000,46168
sin,100000,45882
tan,100000,47075
tan,100000,46345
tan,100000,43818
tan,100000,46510
tan,100000,45931
tan,100000,44716
tan,100000,45365
tan,100000,48639
tan,100000,45520
tan,100000,45077
rand,100000,116442
rand,100000,101589
rand,100000,105286
rand,100000,98289
rand,100000,100133
rand,100000,105842
rand,100000,116272
rand,100000,101580
rand,100000,111371
rand,100000,111144
fib,100000,67227
fib,100000,64348
fib,100000,66467
fib,100000,66175
fib,100000,66598
fib,100000,70708
fib,100000,66581
fib,100000,65364
fib,100000,65135
fib,100000,65921
pow,100000,57458
pow,100000,56377
pow,100000,56750
pow,100000,58790
pow,100000,64246
pow,100000,56512
pow,100000,58057
pow,100000,56938
pow,100000,60070
pow,100000,58158
len,100000,47572
len,100000,48098
len,100000,50565
len,100000,46635
len,100000,46326
len,100000,46903
len,100000,47593
len,100000,48533
len,100000,46940
len,100000,47910
sqrt,100000,48103
sqrt,100000,43550
sqrt,100000,46232
sqrt,100000,46065
sqrt,100000,44213
sqrt,100000,50008
sqrt,100000,43514
sqrt,100000,42512
sqrt,100000,43182
sqrt,100000,46203
concat,100000,46572
concat,100000,44446
concat,100000,47997
concat,100000,46130
concat,100000,50577
concat,100000,46031
concat,100000,49057
concat,100000,48314
concat,100000,46410
concat,100000,50697
addition,100000,32194
addition,100000,35487
addition,100000,30391
addition,100000,30915
addition,100000,32041
addition,100000,31957
addition,100000,31077
addition,100000,30636
addition,100000,32243
addition,100000,32433
substraction,100000,32470
substraction,100000,32505
substraction,100000,32533
substraction,100000,32244
substraction,100000,31958
substraction,100000,32769
