operation,amount,time
addition,100000,9677
addition,100000,10024
addition,100000,9783
addition,100000,10004
addition,100000,9996
addition,100000,9914
addition,100000,9982
addition,100000,9543
addition,100000,9659
addition,100000,12202
substraction,100000,9959
substraction,100000,9672
substraction,100000,9685
substraction,100000,9916
substraction,100000,9384
substraction,100000,11685
substraction,100000,9560
substraction,100000,9472
substraction,100000,9404
substraction,100000,9299
multiplication,100000,13548
multiplication,100000,9696
multiplication,100000,9661
multiplication,100000,9583
multiplication,100000,9762
multiplication,100000,9493
multiplication,100000,9773
multiplication,100000,9686
multiplication,100000,9448
multiplication,100000,9647
division,100000,9954
division,100000,9978
division,100000,9738
division,100000,9747
division,100000,9619
division,100000,9725
division,100000,9657
division,100000,9585
division,100000,9663
division,100000,9264
smaller than,100000,14925
smaller than,100000,12557
smaller than,100000,8772
smaller than,100000,9371
smaller than,100000,8736
smaller than,100000,8876
smaller than,100000,8813
smaller than,100000,8954
smaller than,100000,8641
smaller than,100000,8938
greater than,100000,8465
greater than,100000,8287
greater than,100000,8387
greater than,100000,8283
greater than,100000,8381
greater than,100000,8281
greater than,100000,8374
greater than,100000,8300
greater than,100000,8353
greater than,100000,8169
equals,100000,8351
equals,100000,8162
equals,100000,8239
equals,100000,8152
equals,100000,8304
equals,100000,8139
equals,100000,8246
equals,100000,8086
equals,100000,8234
equals,100000,8174
not equals,100000,8172
not equals,100000,8391
not equals,100000,8459
not equals,100000,8510
not equals,100000,8449
not equals,100000,8233
not equals,100000,8321
not equals,100000,8449
not equals,100000,8435
not equals,100000,8578
isPrime,100000,21564
isPrime,100000,21728
isPrime,100000,21615
isPrime,100000,21452
isPrime,100000,21563
isPrime,100000,21484
isPrime,100000,21336
isPrime,100000,22187
isPrime,100000,21728
isPrime,100000,21030
sin,100000,20156
sin,100000,21845
sin,100000,19492
sin,100000,19523
sin,100000,19591
sin,100000,19543
sin,100000,19481
sin,100000,19463
sin,100000,19423
sin,100000,19507
tan,100000,19322
tan,100000,19186
tan,100000,19223
tan,100000,19075
tan,100000,19086
tan,100000,20449
tan,100000,22837
tan,100000,19185
tan,100000,19049
tan,100000,19073
rand,100000,67146
rand,100000,66093
rand,100000,65780
rand,100000,65961
rand,100000,65949
rand,100000,65896
rand,100000,69207
rand,100000,64899
rand,100000,64906
rand,100000,64926
fib,100000,37671
fib,100000,37120
fib,100000,37001
fib,100000,36993
fib,100000,38788
fib,100000,37262
fib,100000,36974
fib,100000,36793
fib,100000,37134
fib,100000,37260
pow,100000,30153
pow,100000,30383
pow,100000,30548
pow,100000,30434
pow,100000,33538
pow,100000,30133
pow,100000,30528
pow,100000,30429
pow,100000,30348
pow,100000,30901
len,100000,20068
len,100000,20073
len,100000,22178
len,100000,20231
len,100000,20260
len,100000,20458
len,100000,20334
len,100000,20276
len,100000,20301
len,100000,20130
sqrt,100000,17581
sqrt,100000,17390
sqrt,100000,17380
sqrt,100000,18861
sqrt,100000,17972
sqrt,100000,17862
sqrt,100000,17633
sqrt,100000,17597
sqrt,100000,17523
sqrt,100000,17498
concat,100000,20222
concat,100000,20244
concat,100000,20319
concat,100000,21378
concat,100000,21071
concat,100000,19968
concat,100000,19966
concat,100000,20441
concat,100000,23867
concat,100000,20180
addition,100000,9523
addition,100000,9696
addition,100000,9504
addition,100000,9452
addition,100000,9501
addition,100000,9381
addition,100000,9412
addition,100000,9338
addition,100000,9404
addition,100000,9332
substraction,100000,9495
substraction,100000,10304
substraction,100000,9452
substraction,100000,9333
substraction,100000,9425
substraction,100000,9353
substraction,100000,9449
substraction,100000,9853
substraction,100000,9951
substraction,100000,10092
multiplication,100000,10229
multiplication,100000,9500
