operation,amount,time
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,27
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
addition,100000,25
substraction,100000,25
division,100000,25
multiplication,100000,25
