operation,amount,time
addition,100000,9384
addition,100000,9672
addition,100000,9268
addition,100000,9060
addition,100000,10154
addition,100000,9956
addition,100000,9081
addition,100000,9098
addition,100000,9084
addition,100000,9052
substraction,100000,9101
substraction,100000,9436
substraction,100000,8911
substraction,100000,8966
substraction,100000,8920
substraction,100000,8983
substraction,100000,8945
substraction,100000,9010
substraction,100000,8942
substraction,100000,8994
multiplication,100000,9179
multiplication,100000,9096
multiplication,100000,9089
multiplication,100000,9259
multiplication,100000,9044
multiplication,100000,9194
multiplication,100000,9041
multiplication,100000,11038
multiplication,100000,10740
multiplication,100000,9608
division,100000,9960
division,100000,9742
division,100000,15267
division,100000,9063
division,100000,9093
division,100000,9143
division,100000,9044
division,100000,9146
division,100000,9103
division,100000,9215
smaller than,100000,8388
smaller than,100000,8088
smaller than,100000,8415
smaller than,100000,8102
smaller than,100000,8197
smaller than,100000,8077
smaller than,100000,8222
smaller than,100000,8196
smaller than,100000,8304
smaller than,100000,8103
greater than,100000,8177
greater than,100000,8466
greater than,100000,8233
greater than,100000,8317
greater than,100000,8252
greater than,100000,8359
greater than,100000,8314
greater than,100000,8491
greater than,100000,8190
greater than,100000,8349
equals,100000,8051
equals,100000,7789
equals,100000,8989
equals,100000,9760
equals,100000,7700
equals,100000,7853
equals,100000,7651
equals,100000,7887
equals,100000,7734
equals,100000,7887
not equals,100000,7852
not equals,100000,7852
not equals,100000,7726
not equals,100000,7743
not equals,100000,7690
not equals,100000,7756
not equals,100000,7655
not equals,100000,7708
not equals,100000,7625
not equals,100000,7677
isPrime,100000,20896
isPrime,100000,20811
isPrime,100000,20813
isPrime,100000,20822
isPrime,100000,20691
isPrime,100000,20682
isPrime,100000,20745
isPrime,100000,20757
isPrime,100000,20702
isPrime,100000,20786
sin,100000,20198
sin,100000,19692
sin,100000,19709
sin,100000,19581
sin,100000,19603
sin,100000,19659
sin,100000,19579
sin,100000,19654
sin,100000,19631
sin,100000,19152
tan,100000,19189
tan,100000,19227
tan,100000,21070
tan,100000,20707
tan,100000,19430
tan,100000,19506
tan,100000,19261
tan,100000,19334
tan,100000,19317
tan,100000,19160
rand,100000,65723
rand,100000,65138
rand,100000,66794
rand,100000,64797
rand,100000,64266
rand,100000,64347
rand,100000,66423
rand,100000,69701
rand,100000,65608
rand,100000,65551
fib,100000,47970
fib,100000,47864
fib,100000,47771
fib,100000,47389
fib,100000,47909
fib,100000,47891
fib,100000,47810
fib,100000,48264
fib,100000,47848
fib,100000,47759
pow,100000,30034
pow,100000,30068
pow,100000,30047
pow,100000,30406
pow,100000,31658
pow,100000,33244
pow,100000,30089
pow,100000,30646
pow,100000,30010
pow,100000,29961
len,100000,19767
len,100000,18907
len,100000,19221
len,100000,19866
len,100000,21297
len,100000,19796
len,100000,19747
len,100000,19731
len,100000,19263
len,100000,19538
sqrt,100000,17103
sqrt,100000,17120
sqrt,100000,16796
sqrt,100000,16729
sqrt,100000,16805
sqrt,100000,16529
sqrt,100000,16840
sqrt,100000,17154
sqrt,100000,17307
sqrt,100000,18921
concat,100000,23662
concat,100000,21754
concat,100000,21632
concat,100000,21108
concat,100000,20828
concat,100000,26669
concat,100000,21323
concat,100000,21142
concat,100000,21131
concat,100000,21515
addition,100000,9162
addition,100000,9136
addition,100000,9069
addition,100000,9131
addition,100000,9142
addition,100000,9513
addition,100000,9636
addition,100000,10114
addition,100000,9473
addition,100000,8973
substraction,100000,9781
substraction,100000,8926
substraction,100000,9223
substraction,100000,8947
substraction,100000,9052
substraction,100000,8962
substraction,100000,9101
substraction,100000,8968
substraction,100000,9039
substraction,100000,8990
multiplication,100000,9040
multiplication,100000,9006
multiplication,100000,9191
multiplication,100000,9044
multiplication,100000,9130
multiplication,100000,9077
multiplication,100000,9056
multiplication,100000,9087
multiplication,100000,9735
multiplication,100000,10836
division,100000,9687
division,100000,9992
division,100000,9878
division,100000,9914
division,100000,10608
division,100000,9537
division,100000,9249
division,100000,9134
division,100000,9240
division,100000,9151
smaller than,100000,8791
smaller than,100000,7981
smaller than,100000,7923
smaller than,100000,8030
smaller than,100000,7995
smaller than,100000,8029
smaller than,100000,7963
smaller than,100000,8077
smaller than,100000,7972
smaller than,100000,7987
greater than,100000,8281
greater than,100000,8167
greater than,100000,8104
greater than,100000,7996
greater than,100000,8120
greater than,100000,7989
greater than,100000,8106
greater than,100000,7996
greater than,100000,8130
greater than,100000,8044
equals,100000,8228
equals,100000,7887
equals,100000,8022
equals,100000,7865
equals,100000,7957
equals,100000,7952
equals,100000,7922
equals,100000,7944
equals,100000,7923
equals,100000,7944
not equals,100000,7886
not equals,100000,7809
not equals,100000,7855
not equals,100000,7817
