operation,amount,time,weights
addition,100000.0,31833.5,1.0408
concat,100000.0,47626.0,1.5571
division,100000.0,31860.5,1.0417
equals,100000.0,30719.0,1.0044
fib,100000.0,66524.0,2.175
greater than,100000.0,31095.0,1.0167
isPrime,100000.0,48481.5,1.5851
len,100000.0,46769.0,1.5291
multiplication,100000.0,32187.5,1.0524
not equals,100000.0,30585.5,1.0
pow,100000.0,59044.0,1.9305
rand,100000.0,110357.5,3.6082
sin,100000.0,46123.5,1.508
smaller than,100000.0,31198.5,1.02
sqrt,100000.0,46217.5,1.5111
substraction,100000.0,32487.5,1.0622
tan,100000.0,46790.0,1.5298
