operation,amount,time,weights
addition,100000.0,9601.0,1.1744
concat,100000.0,20713.5,2.5338
division,100000.0,9742.5,1.1917
equals,100000.0,8175.0,1.0
fib,100000.0,36997.0,4.5256
greater than,100000.0,8468.5,1.0359
isPrime,100000.0,21468.0,2.6261
len,100000.0,20180.5,2.4686
multiplication,100000.0,9641.5,1.1794
not equals,100000.0,8442.0,1.0327
pow,100000.0,30418.5,3.7209
rand,100000.0,65922.5,8.0639
sin,100000.0,19715.0,2.4116
smaller than,100000.0,8649.5,1.058
sqrt,100000.0,17470.0,2.137
substraction,100000.0,9527.5,1.1654
tan,100000.0,19174.0,2.3454
