operation,amount,time,weights
addition,100000.0,9152.0,1.1759
concat,100000.0,21295.5,2.7362
division,100000.0,9244.5,1.1878
equals,100000.0,7922.5,1.0179
fib,100000.0,47900.0,6.1544
greater than,100000.0,8183.5,1.0515
isPrime,100000.0,20751.0,2.6662
len,100000.0,19737.0,2.5359
multiplication,100000.0,9113.0,1.1709
not equals,100000.0,7783.0,1.0
pow,100000.0,30272.0,3.8895
rand,100000.0,65579.5,8.426
sin,100000.0,19466.0,2.5011
smaller than,100000.0,8082.5,1.0385
sqrt,100000.0,17094.5,2.1964
substraction,100000.0,8986.5,1.1546
tan,100000.0,19257.5,2.4743
