operation,amount,time
addition,10000000,2241922
addition,10000000,2265489
addition,10000000,2083514
addition,10000000,2082816
addition,10000000,2091590
addition,10000000,2087599
addition,10000000,2169999
addition,10000000,2221239
addition,10000000,2060086
addition,10000000,2044499
addition,10000000,2026492
addition,10000000,2068887
addition,10000000,2025773
addition,10000000,2078330
addition,10000000,2029003
addition,10000000,2065935
addition,10000000,2134282
addition,10000000,2071298
addition,10000000,2105283
addition,10000000,2087773
addition,10000000,2215888
addition,10000000,2063573
addition,10000000,2057995
addition,10000000,2087056
addition,10000000,2040906
addition,10000000,2076974
addition,10000000,2056988
addition,10000000,2054660
addition,10000000,2080953
addition,10000000,2036183
addition,10000000,2094449
addition,10000000,2049335
addition,10000000,2074561
addition,10000000,2227639
addition,10000000,2024250
addition,10000000,2061763
addition,10000000,2041758
addition,10000000,2059611
addition,10000000,2045034
addition,10000000,2049752
addition,10000000,2077038
addition,10000000,2044972
addition,10000000,2059925
addition,10000000,2030321
addition,10000000,2072417
addition,10000000,2110971
addition,10000000,2046798
addition,10000000,2246775
addition,10000000,2050212
addition,10000000,2078991
substraction,10000000,2032864
substraction,10000000,2071905
substraction,10000000,2120232
substraction,10000000,2109926
substraction,10000000,2199425
substraction,10000000,2238589
substraction,10000000,2049238
substraction,10000000,2043282
substraction,10000000,2066089
substraction,10000000,2200176
substraction,10000000,2077922
substraction,10000000,2071015
substraction,10000000,2062518
substraction,10000000,2093871
substraction,10000000,2086258
substraction,10000000,2070636
substraction,10000000,2044571
substraction,10000000,2088069
substraction,10000000,2064860
substraction,10000000,2078811
substraction,10000000,2068024
substraction,10000000,2061910
substraction,10000000,2254051
substraction,10000000,2097335
substraction,10000000,2044403
substraction,10000000,2044549
substraction,10000000,2030059
substraction,10000000,2089433
substraction,10000000,2052779
substraction,10000000,2087298
substraction,10000000,2056423
substraction,10000000,2101642
substraction,10000000,2146532
substraction,10000000,2073658
substraction,10000000,2086527
substraction,10000000,2161684
substraction,10000000,2121711
substraction,10000000,2111699
substraction,10000000,2090440
substraction,10000000,2096390
substraction,10000000,2099015
substraction,10000000,2111943
substraction,10000000,2106257
substraction,10000000,2074110
substraction,10000000,2100791
substraction,10000000,2082143
substraction,10000000,2138657
substraction,10000000,2072078
substraction,10000000,2102963
substraction,10000000,2199390
multiplication,10000000,2106842
multiplication,10000000,2069334
multiplication,10000000,2089323
multiplication,10000000,2042100
multiplication,10000000,2063443
multiplication,10000000,2071241
multiplication,10000000,2071102
multiplication,10000000,2065231
multiplication,10000000,2039629
multiplication,10000000,2071372
multiplication,10000000,2065678
multiplication,10000000,2029272
multiplication,10000000,2191594
multiplication,10000000,2017264
multiplication,10000000,2054687
multiplication,10000000,2049735
multiplication,10000000,2096812
multiplication,10000000,2051430
multiplication,10000000,2064264
multiplication,10000000,2069356
multiplication,10000000,2051480
multiplication,10000000,2071853
multiplication,10000000,2060771
multiplication,10000000,2057752
multiplication,10000000,2076714
multiplication,10000000,2174374
multiplication,10000000,2096279
multiplication,10000000,2058326
multiplication,10000000,2059132
multiplication,10000000,2055824
multiplication,10000000,2100553
multiplication,10000000,2071210
multiplication,10000000,2044719
multiplication,10000000,2071325
multiplication,10000000,2074016
multiplication,10000000,2066076
multiplication,10000000,2053174
multiplication,10000000,2052793
multiplication,10000000,2109023
multiplication,10000000,2228234
multiplication,10000000,2046255
multiplication,10000000,2085985
multiplication,10000000,2039756
multiplication,10000000,2070870
multiplication,10000000,2037222
multiplication,10000000,2049837
multiplication,10000000,2061322
multiplication,10000000,2038547
multiplication,10000000,2082806
multiplication,10000000,2042624
division,10000000,2495299
division,10000000,2477195
division,10000000,2767393
division,10000000,2685248
division,10000000,2152696
division,10000000,2155449
division,10000000,2209668
division,10000000,2200063
division,10000000,2265371
division,10000000,2058269
division,10000000,2088361
division,10000000,2092850
division,10000000,2095556
division,10000000,2079649
division,10000000,2056483
division,10000000,2095262
division,10000000,2056745
division,10000000,2148987
division,10000000,2154336
division,10000000,2511112
division,10000000,2419658
division,10000000,2400576
division,10000000,2105879
division,10000000,2052490
division,10000000,2131182
division,10000000,2072705
division,10000000,2097929
division,10000000,2069169
division,10000000,2087483
division,10000000,2094753
division,10000000,2085590
division,10000000,2084237
division,10000000,2046034
division,10000000,2078117
division,10000000,2084330
division,10000000,2233211
division,10000000,2094305
division,10000000,2072236
division,10000000,2113709
division,10000000,2115671
division,10000000,2110869
division,10000000,2114092
division,10000000,2072795
division,10000000,2106244
division,10000000,2047579
division,10000000,2069206
division,10000000,2056605
division,10000000,2096214
division,10000000,2211912
division,10000000,2067672
smaller than,10000000,2006965
smaller than,10000000,2041984
smaller than,10000000,1996536
smaller than,10000000,1999549
smaller than,10000000,1985049
smaller than,10000000,1999197
smaller than,10000000,2035464
smaller than,10000000,1998204
smaller than,10000000,2017040
smaller than,10000000,2023678
smaller than,10000000,1989952
smaller than,10000000,2021048
smaller than,10000000,2012057
smaller than,10000000,2035585
smaller than,10000000,2022413
smaller than,10000000,1995761
smaller than,10000000,2045841
smaller than,10000000,2109974
smaller than,10000000,1989770
smaller than,10000000,2015923
smaller than,10000000,1996033
smaller than,10000000,2021627
smaller than,10000000,1998611
smaller than,10000000,2003861
smaller than,10000000,2029203
smaller than,10000000,2000743
smaller than,10000000,2008937
smaller than,10000000,2001896
smaller than,10000000,2004827
smaller than,10000000,2019654
smaller than,10000000,1986843
smaller than,10000000,2020665
smaller than,10000000,2002823
smaller than,10000000,2008760
smaller than,10000000,1996936
smaller than,10000000,2024503
smaller than,10000000,2195554
smaller than,10000000,2003057
smaller than,10000000,2014402
smaller than,10000000,2010799
smaller than,10000000,2006894
smaller than,10000000,2010319
smaller than,10000000,2048608
smaller than,10000000,2022709
smaller than,10000000,2000653
smaller than,10000000,2007643
smaller than,10000000,2020439
smaller than,10000000,2002480
smaller than,10000000,2052883
smaller than,10000000,2077134
greater than,10000000,2282208
greater than,10000000,2234850
greater than,10000000,2163483
greater than,10000000,2107559
greater than,10000000,2101012
greater than,10000000,2217442
greater than,10000000,2283046
greater than,10000000,2237047
greater than,10000000,2265433
greater than,10000000,2196973
greater than,10000000,2094418
greater than,10000000,2068674
greater than,10000000,2059860
greater than,10000000,2082215
greater than,10000000,2074673
greater than,10000000,2033806
greater than,10000000,2070348
greater than,10000000,2047282
greater than,10000000,2078726
greater than,10000000,2020763
greater than,10000000,2237752
greater than,10000000,2057784
greater than,10000000,2102617
greater than,10000000,2217668
greater than,10000000,2117370
greater than,10000000,2047727
greater than,10000000,2050841
greater than,10000000,2013317
greater than,10000000,2040426
greater than,10000000,1999828
greater than,10000000,2005856
greater than,10000000,2006020
greater than,10000000,2032267
greater than,10000000,2095654
greater than,10000000,2163720
greater than,10000000,2061959
greater than,10000000,2014079
greater than,10000000,2033818
greater than,10000000,2038529
greater than,10000000,2009458
greater than,10000000,2159094
greater than,10000000,2036529
greater than,10000000,2046873
greater than,10000000,2051104
greater than,10000000,2014125
greater than,10000000,2072252
greater than,10000000,2134614
greater than,10000000,2068599
greater than,10000000,2029830
greater than,10000000,2094603
equals,10000000,1935367
equals,10000000,2073037
equals,10000000,1928850
equals,10000000,1942524
equals,10000000,1935405
equals,10000000,1915458
equals,10000000,2052562
equals,10000000,1960727
equals,10000000,1954039
equals,10000000,1960891
equals,10000000,1935997
equals,10000000,1956656
equals,10000000,1958100
equals,10000000,1971168
equals,10000000,1960559
equals,10000000,1928313
equals,10000000,1956558
equals,10000000,1970739
equals,10000000,1989757
equals,10000000,2007777
equals,10000000,1987959
equals,10000000,2007370
equals,10000000,2059760
equals,10000000,2009084
equals,10000000,2002633
equals,10000000,1996923
equals,10000000,2075953
equals,10000000,1924233
equals,10000000,1958147
equals,10000000,1945464
equals,10000000,1901863
equals,10000000,1933907
equals,10000000,1901333
equals,10000000,1906651
equals,10000000,1920399
equals,10000000,1919981
equals,10000000,1907286
equals,10000000,1923981
equals,10000000,1899628
equals,10000000,1905838
equals,10000000,1916039
equals,10000000,1913323
equals,10000000,1936274
equals,10000000,1918612
equals,10000000,1911576
equals,10000000,1921133
equals,10000000,2025589
equals,10000000,1927961
equals,10000000,1925991
equals,10000000,1890060
not equals,10000000,1929010
not equals,10000000,1932560
not equals,10000000,1903300
not equals,10000000,1901003
not equals,10000000,1903630
not equals,10000000,1917405
not equals,10000000,1907303
not equals,10000000,1923172
not equals,10000000,1920691
not equals,10000000,1971006
not equals,10000000,1915720
not equals,10000000,1919200
not equals,10000000,1915788
not equals,10000000,1907197
not equals,10000000,1911683
not equals,10000000,1887211
not equals,10000000,2074101
not equals,10000000,1943587
not equals,10000000,1938170
not equals,10000000,1930434
not equals,10000000,1950581
not equals,10000000,1934857
not equals,10000000,1950808
not equals,10000000,1915828
not equals,10000000,1927385
not equals,10000000,1940146
not equals,10000000,1930785
not equals,10000000,1936507
not equals,10000000,1911855
not equals,10000000,1949892
not equals,10000000,1937258
not equals,10000000,1935498
not equals,10000000,1950591
not equals,10000000,1932494
not equals,10000000,1948798
not equals,10000000,1959216
not equals,10000000,2057512
not equals,10000000,1943961
not equals,10000000,1976466
not equals,10000000,1956418
not equals,10000000,1985082
not equals,10000000,1913551
not equals,10000000,1935269
not equals,10000000,1961135
not equals,10000000,1936089
not equals,10000000,1978679
not equals,10000000,1947791
not equals,10000000,1951680
not equals,10000000,1951245
not equals,10000000,1957362
isPrime,10000000,3123443
isPrime,10000000,3091958
isPrime,10000000,3082293
isPrime,10000000,3065463
isPrime,10000000,3093641
isPrime,10000000,3100692
isPrime,10000000,3078294
isPrime,10000000,3082647
isPrime,10000000,3151572
isPrime,10000000,2865265
isPrime,10000000,2857731
isPrime,10000000,2857884
isPrime,10000000,2922970
isPrime,10000000,2868936
isPrime,10000000,2883899
isPrime,10000000,2876309
isPrime,10000000,2865575
isPrime,10000000,2906356
isPrime,10000000,2913937
isPrime,10000000,3034712
isPrime,10000000,2948486
