operation,amount,time
addition,10000000,558638
addition,10000000,594671
addition,10000000,602018
addition,10000000,598291
addition,10000000,656700
addition,10000000,519359
addition,10000000,532067
addition,10000000,535164
addition,10000000,547037
addition,10000000,539437
addition,10000000,584031
addition,10000000,593911
addition,10000000,593001
addition,10000000,582658
addition,10000000,605693
addition,10000000,607834
addition,10000000,618842
addition,10000000,690120
addition,10000000,550661
addition,10000000,540670
addition,10000000,539367
addition,10000000,548241
addition,10000000,532573
addition,10000000,542236
addition,10000000,542704
addition,10000000,547416
addition,10000000,541262
addition,10000000,542462
addition,10000000,533420
addition,10000000,539992
addition,10000000,529976
addition,10000000,607557
addition,10000000,548234
addition,10000000,549110
addition,10000000,526036
addition,10000000,539106
addition,10000000,543217
addition,10000000,543628
addition,10000000,543891
addition,10000000,538466
addition,10000000,537026
addition,10000000,542194
addition,10000000,537941
addition,10000000,524480
addition,10000000,624741
addition,10000000,537038
addition,10000000,540874
addition,10000000,540857
addition,10000000,530691
addition,10000000,532277
substraction,10000000,531506
substraction,10000000,540968
substraction,10000000,538633
substraction,10000000,534631
substraction,10000000,525897
substraction,10000000,537646
substraction,10000000,644835
substraction,10000000,554601
substraction,10000000,541365
substraction,10000000,552044
substraction,10000000,552992
substraction,10000000,531366
substraction,10000000,540458
substraction,10000000,533401
substraction,10000000,541777
substraction,10000000,587311
substraction,10000000,606544
substraction,10000000,602060
substraction,10000000,619768
substraction,10000000,674255
substraction,10000000,527091
substraction,10000000,538556
substraction,10000000,539754
substraction,10000000,544106
substraction,10000000,539096
substraction,10000000,533811
substraction,10000000,548505
substraction,10000000,552280
substraction,10000000,531545
substraction,10000000,531303
substraction,10000000,556903
substraction,10000000,544020
substraction,10000000,610193
substraction,10000000,560344
substraction,10000000,543517
substraction,10000000,537565
substraction,10000000,538456
substraction,10000000,545690
substraction,10000000,542392
substraction,10000000,529601
substraction,10000000,538238
substraction,10000000,521375
substraction,10000000,537141
substraction,10000000,528818
substraction,10000000,540525
substraction,10000000,540489
substraction,10000000,650026
substraction,10000000,532619
substraction,10000000,543201
substraction,10000000,540661
multiplication,10000000,522212
multiplication,10000000,545360
multiplication,10000000,544144
multiplication,10000000,555627
multiplication,10000000,568553
multiplication,10000000,518312
multiplication,10000000,553038
multiplication,10000000,566455
multiplication,10000000,648138
multiplication,10000000,545582
multiplication,10000000,543677
multiplication,10000000,518158
multiplication,10000000,533029
multiplication,10000000,545876
multiplication,10000000,544190
multiplication,10000000,540534
multiplication,10000000,543183
multiplication,10000000,538348
multiplication,10000000,528919
multiplication,10000000,558600
multiplication,10000000,586012
multiplication,10000000,719992
multiplication,10000000,531681
multiplication,10000000,513635
multiplication,10000000,529199
multiplication,10000000,535931
multiplication,10000000,533016
multiplication,10000000,509713
multiplication,10000000,521996
multiplication,10000000,529349
multiplication,10000000,523882
multiplication,10000000,514030
multiplication,10000000,540841
multiplication,10000000,514878
multiplication,10000000,563304
multiplication,10000000,621907
multiplication,10000000,524473
multiplication,10000000,537993
multiplication,10000000,542680
multiplication,10000000,527002
multiplication,10000000,518303
multiplication,10000000,532092
multiplication,10000000,536991
multiplication,10000000,529917
multiplication,10000000,532187
multiplication,10000000,537996
multiplication,10000000,536398
multiplication,10000000,537533
multiplication,10000000,638729
multiplication,10000000,529285
division,10000000,556521
division,10000000,542229
division,10000000,555709
division,10000000,538627
division,10000000,578328
division,10000000,553519
division,10000000,546856
division,10000000,567249
division,10000000,559079
division,10000000,565702
division,10000000,556564
division,10000000,587471
division,10000000,597595
division,10000000,540918
division,10000000,538542
division,10000000,555027
division,10000000,554080
division,10000000,553661
division,10000000,559769
division,10000000,552993
division,10000000,539512
division,10000000,548246
division,10000000,552049
division,10000000,543324
division,10000000,554538
division,10000000,635621
division,10000000,555336
division,10000000,552090
division,10000000,549637
division,10000000,557809
division,10000000,546705
division,10000000,546030
division,10000000,543207
division,10000000,553317
division,10000000,543191
division,10000000,551688
division,10000000,540745
division,10000000,537015
division,10000000,631842
division,10000000,545486
division,10000000,542129
division,10000000,544892
division,10000000,551569
division,10000000,553583
division,10000000,562935
division,10000000,555767
division,10000000,542590
division,10000000,527426
division,10000000,535618
division,10000000,553896
smaller than,10000000,511312
smaller than,10000000,549764
smaller than,10000000,553647
smaller than,10000000,545173
smaller than,10000000,543640
smaller than,10000000,549285
smaller than,10000000,564224
smaller than,10000000,571238
smaller than,10000000,554971
smaller than,10000000,564897
smaller than,10000000,551991
smaller than,10000000,546414
smaller than,10000000,612033
smaller than,10000000,507771
smaller than,10000000,503755
smaller than,10000000,502234
smaller than,10000000,517772
smaller than,10000000,495477
smaller than,10000000,497718
smaller than,10000000,508975
smaller than,10000000,520937
smaller than,10000000,513579
smaller than,10000000,509784
smaller than,10000000,501546
smaller than,10000000,498836
smaller than,10000000,544616
smaller than,10000000,550968
smaller than,10000000,561846
smaller than,10000000,565803
smaller than,10000000,559322
smaller than,10000000,543800
smaller than,10000000,530271
smaller than,10000000,603535
smaller than,10000000,491858
smaller than,10000000,503906
smaller than,10000000,532027
smaller than,10000000,524241
smaller than,10000000,507432
smaller than,10000000,512916
smaller than,10000000,514532
smaller than,10000000,512130
smaller than,10000000,510488
smaller than,10000000,509320
smaller than,10000000,508126
smaller than,10000000,508990
smaller than,10000000,488573
smaller than,10000000,499917
smaller than,10000000,492496
smaller than,10000000,510689
smaller than,10000000,506091
greater than,10000000,553726
greater than,10000000,553083
greater than,10000000,541527
greater than,10000000,534632
greater than,10000000,577601
greater than,10000000,552543
greater than,10000000,553777
greater than,10000000,553705
greater than,10000000,561719
greater than,10000000,543070
greater than,10000000,624588
greater than,10000000,520991
greater than,10000000,509766
greater than,10000000,510268
greater than,10000000,515910
greater than,10000000,522261
greater than,10000000,508397
greater than,10000000,510151
greater than,10000000,522491
greater than,10000000,520241
greater than,10000000,513713
greater than,10000000,530340
greater than,10000000,553255
greater than,10000000,559853
greater than,10000000,557406
greater than,10000000,557824
greater than,10000000,550693
greater than,10000000,556509
greater than,10000000,563868
greater than,10000000,563010
greater than,10000000,581539
greater than,10000000,528681
greater than,10000000,505229
greater than,10000000,507202
greater than,10000000,509399
greater than,10000000,504434
greater than,10000000,491141
greater than,10000000,491674
greater than,10000000,513317
greater than,10000000,505912
greater than,10000000,513000
greater than,10000000,505082
greater than,10000000,511797
greater than,10000000,513560
greater than,10000000,513654
greater than,10000000,513740
greater than,10000000,515908
greater than,10000000,500250
greater than,10000000,506608
greater than,10000000,515769
equals,10000000,493230
equals,10000000,489443
equals,10000000,487521
equals,10000000,511634
equals,10000000,509154
equals,10000000,497472
equals,10000000,493490
equals,10000000,501493
equals,10000000,467927
equals,10000000,474443
equals,10000000,543119
equals,10000000,464268
equals,10000000,450882
equals,10000000,444151
equals,10000000,463121
equals,10000000,458667
equals,10000000,444445
equals,10000000,439095
equals,10000000,440033
equals,10000000,426583
equals,10000000,441679
equals,10000000,461732
equals,10000000,495805
equals,10000000,493200
equals,10000000,496338
equals,10000000,484406
equals,10000000,505065
equals,10000000,516151
equals,10000000,508523
equals,10000000,484241
equals,10000000,551344
equals,10000000,445658
equals,10000000,438805
equals,10000000,458997
equals,10000000,459806
equals,10000000,445147
equals,10000000,439074
equals,10000000,440142
equals,10000000,429795
equals,10000000,435234
equals,10000000,450133
equals,10000000,454916
equals,10000000,463491
equals,10000000,460437
equals,10000000,438329
equals,10000000,476035
equals,10000000,454737
equals,10000000,458521
equals,10000000,447126
equals,10000000,463548
not equals,10000000,477660
not equals,10000000,513328
not equals,10000000,510213
not equals,10000000,493935
not equals,10000000,496504
not equals,10000000,500812
not equals,10000000,527769
not equals,10000000,517746
not equals,10000000,507727
not equals,10000000,493697
not equals,10000000,530396
not equals,10000000,504791
not equals,10000000,449827
not equals,10000000,462067
not equals,10000000,456889
not equals,10000000,461238
not equals,10000000,468975
not equals,10000000,448833
not equals,10000000,457772
not equals,10000000,451623
not equals,10000000,460968
not equals,10000000,459079
not equals,10000000,517687
not equals,10000000,488462
not equals,10000000,502365
not equals,10000000,499842
not equals,10000000,502420
not equals,10000000,513731
not equals,10000000,511358
not equals,10000000,511809
not equals,10000000,533167
not equals,10000000,504528
not equals,10000000,449383
not equals,10000000,450799
not equals,10000000,458562
not equals,10000000,453480
not equals,10000000,443454
not equals,10000000,454023
not equals,10000000,436197
not equals,10000000,444931
not equals,10000000,455713
not equals,10000000,434139
not equals,10000000,457830
not equals,10000000,447280
not equals,10000000,443507
not equals,10000000,458829
not equals,10000000,460502
not equals,10000000,454175
not equals,10000000,439704
not equals,10000000,452556
isPrime,10000000,1158867
isPrime,10000000,1158177
isPrime,10000000,1157185
isPrime,10000000,1179299
isPrime,10000000,1150287
isPrime,10000000,1223386
isPrime,10000000,1077024
isPrime,10000000,1049862
isPrime,10000000,1081105
isPrime,10000000,1070174
isPrime,10000000,1078790
isPrime,10000000,1120532
isPrime,10000000,1173136
isPrime,10000000,1155591
isPrime,10000000,1154650
isPrime,10000000,1112642
isPrime,10000000,1166086
isPrime,10000000,1072964
isPrime,10000000,1064125
isPrime,10000000,1071521
isPrime,10000000,1081496
isPrime,10000000,1083237
isPrime,10000000,1056514
isPrime,10000000,1079965
isPrime,10000000,1064185
isPrime,10000000,1124380
isPrime,10000000,1168618
isPrime,10000000,1062165
isPrime,10000000,1051258
isPrime,10000000,1067946
isPrime,10000000,1058197
isPrime,10000000,1052995
isPrime,10000000,1065380
isPrime,10000000,1035444
isPrime,10000000,1060117
isPrime,10000000,1059484
isPrime,10000000,1078834
isPrime,10000000,1151760
isPrime,10000000,1061445
isPrime,10000000,1075327
isPrime,10000000,1072048
isPrime,10000000,1059289
isPrime,10000000,1063400
isPrime,10000000,1078839
isPrime,10000000,1051582
isPrime,10000000,1053473
isPrime,10000000,1062557
isPrime,10000000,1094302
isPrime,10000000,1182524
isPrime,10000000,1073478
sin,10000000,931663
sin,10000000,922328
sin,10000000,927883
sin,10000000,931810
sin,10000000,914955
sin,10000000,911144
sin,10000000,919138
sin,10000000,925363
sin,10000000,919820
sin,10000000,930171
sin,10000000,895312
sin,10000000,1039847
sin,10000000,916136
sin,10000000,910992
sin,10000000,935884
sin,10000000,913201
sin,10000000,926284
sin,10000000,919626
sin,10000000,916971
sin,10000000,911035
sin,10000000,922235
sin,10000000,897247
sin,10000000,913970
sin,10000000,1035600
sin,10000000,914743
sin,10000000,910779
sin,10000000,891084
sin,10000000,921446
sin,10000000,913814
sin,10000000,926877
sin,10000000,887774
sin,10000000,899783
sin,10000000,904647
sin,10000000,903554
sin,10000000,973344
