operation,amount,time
addition,100000000,12379
substraction,100000000,31748
division,100000000,16354
multiplication,100000000,12709
greater than,100000000,13788
smaller than,100000000,17699
sqrt,100000000,22467
pow,100000000,1389731
sin,100000000,488634
tan,100000000,479662
concat,100000000,11463
equals,100000000,12666
not equals,100000000,19679
addition,100000000,16208
substraction,100000000,14097
division,100000000,18388
multiplication,100000000,12678
greater than,100000000,16683
smaller than,100000000,13257
sqrt,100000000,12100
pow,100000000,1355336
sin,100000000,482710
tan,100000000,475607
concat,100000000,18079
equals,100000000,12676
not equals,100000000,22885
addition,100000000,18778
substraction,100000000,19806
division,100000000,16586
multiplication,100000000,15439
greater than,100000000,17110
smaller than,100000000,22772
sqrt,100000000,16336
pow,100000000,1385448
sin,100000000,481074
tan,100000000,477800
concat,100000000,11541
equals,100000000,13022
not equals,100000000,21582
addition,100000000,21703
substraction,100000000,25199
division,100000000,17595
multiplication,100000000,12688
greater than,100000000,13362
smaller than,100000000,19147
sqrt,100000000,11943
pow,100000000,1356278
sin,100000000,476684
tan,100000000,474461
concat,100000000,16669
equals,100000000,13200
not equals,100000000,15259
addition,100000000,18452
substraction,100000000,36518
division,100000000,13448
multiplication,100000000,13927
greater than,100000000,17763
smaller than,100000000,14495
sqrt,100000000,13586
pow,100000000,1362518
sin,100000000,481626
tan,100000000,532832
concat,100000000,20347
equals,100000000,13368
not equals,100000000,13257
addition,100000000,19381
substraction,100000000,44152
division,100000000,15627
multiplication,100000000,12954
greater than,100000000,15766
smaller than,100000000,18617
sqrt,100000000,18402
pow,100000000,1341639
sin,100000000,481369
tan,100000000,475238
concat,100000000,17782
equals,100000000,12704
not equals,100000000,11670
addition,100000000,20432
substraction,100000000,21224
division,100000000,17205
multiplication,100000000,13459
greater than,100000000,20085
smaller than,100000000,19027
sqrt,100000000,11766
pow,100000000,1367534
sin,100000000,492364
tan,100000000,476905
concat,100000000,14417
equals,100000000,15886
not equals,100000000,18745
addition,100000000,15465
substraction,100000000,32650
division,100000000,14093
multiplication,100000000,14086
greater than,100000000,13713
smaller than,100000000,20460
sqrt,100000000,16599
pow,100000000,1364409
sin,100000000,477105
tan,100000000,485622
concat,100000000,11956
equals,100000000,13144
not equals,100000000,11420
addition,100000000,12307
substraction,100000000,38938
division,100000000,12622
multiplication,100000000,13716
greater than,100000000,15214
smaller than,100000000,17155
sqrt,100000000,16409
pow,100000000,1374476
sin,100000000,489959
tan,100000000,483969
concat,100000000,19377
equals,100000000,12953
not equals,100000000,12083
addition,100000000,19852
substraction,100000000,36686
division,100000000,12259
multiplication,100000000,12856
greater than,100000000,22264
smaller than,100000000,21331
sqrt,100000000,16752
pow,100000000,1364668
sin,100000000,485559
tan,100000000,476346
concat,100000000,11512
equals,100000000,13160
not equals,100000000,18084
addition,100000000,18454
substraction,100000000,40571
division,100000000,22950
multiplication,100000000,14559
greater than,100000000,16066
smaller than,100000000,23052
sqrt,100000000,11890
pow,100000000,1351575
sin,100000000,474696
tan,100000000,489999
concat,100000000,19843
equals,100000000,13430
not equals,100000000,17499
addition,100000000,16133
substraction,100000000,36765
division,100000000,18137
multiplication,100000000,13383
greater than,100000000,15242
smaller than,100000000,19210
sqrt,100000000,20778
pow,100000000,1366007
sin,100000000,483770
tan,100000000,478276
concat,100000000,21398
equals,100000000,13702
not equals,100000000,16941
addition,100000000,21676
substraction,100000000,43410
division,100000000,18422
multiplication,100000000,13623
greater than,100000000,22348
smaller than,100000000,17435
sqrt,100000000,16621
pow,100000000,1352649
sin,100000000,481008
tan,100000000,476344
concat,100000000,15825
equals,100000000,14429
not equals,100000000,13091
addition,100000000,16876
substraction,100000000,21594
division,100000000,19260
multiplication,100000000,14391
greater than,100000000,20796
smaller than,100000000,18554
sqrt,100000000,11849
pow,100000000,1362451
sin,100000000,485010
tan,100000000,488089
concat,100000000,16184
equals,100000000,12678
not equals,100000000,11528
addition,100000000,16719
substraction,100000000,38770
division,100000000,18894
multiplication,100000000,13116
greater than,100000000,16438
smaller than,100000000,17462
sqrt,100000000,12653
pow,100000000,1355432
sin,100000000,483895
tan,100000000,476694
concat,100000000,18260
equals,100000000,12688
not equals,100000000,22727
addition,100000000,13132
substraction,100000000,37063
division,100000000,19906
multiplication,100000000,12712
greater than,100000000,22006
smaller than,100000000,14682
sqrt,100000000,19108
pow,100000000,1358975
sin,100000000,477500
tan,100000000,482721
concat,100000000,22022
equals,100000000,12676
not equals,100000000,15376
addition,100000000,12189
substraction,100000000,21548
division,100000000,15677
multiplication,100000000,13032
greater than,100000000,13734
smaller than,100000000,22631
sqrt,100000000,16074
pow,100000000,1371329
sin,100000000,494309
tan,100000000,490153
concat,100000000,18632
equals,100000000,12677
not equals,100000000,15545
addition,100000000,13921
substraction,100000000,27149
division,100000000,12135
multiplication,100000000,13556
greater than,100000000,16747
smaller than,100000000,13352
sqrt,100000000,18494
pow,100000000,1376111
sin,100000000,477592
tan,100000000,481397
concat,100000000,11466
equals,100000000,12731
not equals,100000000,21021
addition,100000000,16037
substraction,100000000,17303
division,100000000,11857
multiplication,100000000,12978
greater than,100000000,13043
smaller than,100000000,20125
sqrt,100000000,11485
pow,100000000,1356905
sin,100000000,481047
tan,100000000,477135
concat,100000000,17479
equals,100000000,12915
not equals,100000000,23011
addition,100000000,19418
substraction,100000000,35713
division,100000000,11821
multiplication,100000000,12792
greater than,100000000,12703
smaller than,100000000,13838
sqrt,100000000,20340
pow,100000000,1345600
sin,100000000,479629
tan,100000000,476676
concat,100000000,20576
equals,100000000,12730
not equals,100000000,20084
addition,100000000,22995
substraction,100000000,34826
division,100000000,11452
multiplication,100000000,12928
greater than,100000000,19167
smaller than,100000000,18303
sqrt,100000000,19776
pow,100000000,1355034
sin,100000000,478846
tan,100000000,475220
concat,100000000,11516
equals,100000000,12963
not equals,100000000,20568
addition,100000000,21824
substraction,100000000,19433
division,100000000,11572
multiplication,100000000,13646
greater than,100000000,12207
smaller than,100000000,15793
sqrt,100000000,16563
pow,100000000,1357338
sin,100000000,483731
tan,100000000,477086
concat,100000000,15968
equals,100000000,14811
not equals,100000000,17240
addition,100000000,16373
substraction,100000000,42554
division,100000000,17928
multiplication,100000000,14520
greater than,100000000,11773
smaller than,100000000,16438
sqrt,100000000,18574
pow,100000000,1349602
sin,100000000,479950
tan,100000000,477894
concat,100000000,21954
equals,100000000,16015
not equals,100000000,21244
addition,100000000,20720
substraction,100000000,45732
division,100000000,12419
multiplication,100000000,12905
greater than,100000000,17248
smaller than,100000000,23220
sqrt,100000000,17157
pow,100000000,1364151
sin,100000000,482281
tan,100000000,477423
concat,100000000,19178
equals,100000000,12669
not equals,100000000,20387
addition,100000000,11415
substraction,100000000,26181
division,100000000,15013
multiplication,100000000,13205
greater than,100000000,19144
smaller than,100000000,18284
sqrt,100000000,12350
pow,100000000,1362075
sin,100000000,480192
tan,100000000,474585
concat,100000000,14728
equals,100000000,12737
not equals,100000000,14626
addition,100000000,18717
substraction,100000000,31549
division,100000000,17801
multiplication,100000000,12697
greater than,100000000,22528
smaller than,100000000,21419
sqrt,100000000,11522
pow,100000000,1373852
sin,100000000,480851
tan,100000000,477980
concat,100000000,17505
equals,100000000,12940
not equals,100000000,11658
addition,100000000,20961
substraction,100000000,18038
division,100000000,22022
multiplication,100000000,12813
greater than,100000000,18909
smaller than,100000000,15669
sqrt,100000000,17457
pow,100000000,1381904
sin,100000000,479817
tan,100000000,479509
concat,100000000,12352
equals,100000000,13538
not equals,100000000,19026
addition,100000000,18071
substraction,100000000,44010
division,100000000,16725
multiplication,100000000,12726
greater than,100000000,20781
smaller than,100000000,14628
sqrt,100000000,18841
pow,100000000,1359897
sin,100000000,481762
tan,100000000,475562
concat,100000000,18717
equals,100000000,12669
not equals,100000000,19507
addition,100000000,12005
substraction,100000000,18013
division,100000000,14527
multiplication,100000000,12747
greater than,100000000,14321
smaller than,100000000,20710
sqrt,100000000,20309
pow,100000000,1356692
sin,100000000,474529
tan,100000000,475531
concat,100000000,11849
equals,100000000,12743
not equals,100000000,22297
addition,100000000,11893
substraction,100000000,22601
division,100000000,13352
multiplication,100000000,12795
greater than,100000000,14698
smaller than,100000000,14020
sqrt,100000000,14220
pow,100000000,1358356
sin,100000000,478178
tan,100000000,478398
concat,100000000,11564
equals,100000000,12653
not equals,100000000,19659
addition,100000000,16582
substraction,100000000,37721
division,100000000,12067
multiplication,100000000,14971
greater than,100000000,11327
smaller than,100000000,12466
sqrt,100000000,15317
pow,100000000,1357135
sin,100000000,475233
tan,100000000,479552
concat,100000000,20100
equals,100000000,13260
not equals,100000000,14251
addition,100000000,14106
substraction,100000000,26655
division,100000000,14382
multiplication,100000000,13706
greater than,100000000,13457
smaller than,100000000,17129
sqrt,100000000,12307
pow,100000000,1392150
sin,100000000,479167
tan,100000000,477820
concat,100000000,18328
equals,100000000,12979
not equals,100000000,12288
addition,100000000,21774
substraction,100000000,25681
division,100000000,13163
multiplication,100000000,12740
greater than,100000000,11453
smaller than,100000000,14589
sqrt,100000000,16598
pow,100000000,1373068
sin,100000000,489129
tan,100000000,475756
concat,100000000,21879
equals,100000000,13385
not equals,100000000,22155
addition,100000000,19242
substraction,100000000,37203
division,100000000,12008
multiplication,100000000,12805
greater than,100000000,17944
smaller than,100000000,17620
sqrt,100000000,16223
pow,100000000,1350600
sin,100000000,477013
tan,100000000,474216
concat,100000000,15656
equals,100000000,12661
not equals,100000000,21592
addition,100000000,22628
substraction,100000000,34944
division,100000000,19065
multiplication,100000000,12731
greater than,100000000,22371
smaller than,100000000,22018
sqrt,100000000,11638
pow,100000000,1347952
sin,100000000,479080
tan,100000000,472831
concat,100000000,11396
equals,100000000,12711
not equals,100000000,19383
addition,100000000,22647
substraction,100000000,42769
division,100000000,12966
multiplication,100000000,14103
greater than,100000000,15607
smaller than,100000000,19903
sqrt,100000000,15228
pow,100000000,1341346
sin,100000000,473034
tan,100000000,481184
concat,100000000,11742
equals,100000000,12703
not equals,100000000,22359
addition,100000000,20447
substraction,100000000,36909
division,100000000,20338
multiplication,100000000,12724
greater than,100000000,22537
smaller than,100000000,20710
sqrt,100000000,15943
pow,100000000,1371947
sin,100000000,480824
tan,100000000,501873
concat,100000000,11526
equals,100000000,12755
not equals,100000000,11463
addition,100000000,22129
substraction,100000000,43776
division,100000000,21721
multiplication,100000000,12669
greater than,100000000,12690
smaller than,100000000,20128
sqrt,100000000,18077
pow,100000000,1345152
sin,100000000,475589
tan,100000000,477116
concat,100000000,11816
equals,100000000,12949
not equals,100000000,20908
addition,100000000,22278
substraction,100000000,44440
division,100000000,13972
multiplication,100000000,12983
greater than,100000000,22780
smaller than,100000000,17301
sqrt,100000000,18652
pow,100000000,1371651
sin,100000000,478493
tan,100000000,477094
concat,100000000,19900
equals,100000000,12696
not equals,100000000,18548
addition,100000000,21869
substraction,100000000,45009
division,100000000,17682
multiplication,100000000,12650
greater than,100000000,18281
smaller than,100000000,22325
sqrt,100000000,18801
pow,100000000,1345245
sin,100000000,475761
tan,100000000,483428
concat,100000000,18586
equals,100000000,12680
not equals,100000000,19501
addition,100000000,20237
substraction,100000000,39508
division,100000000,12843
multiplication,100000000,12689
greater than,100000000,17877
