operation,amount,time
useful,10000000,15873103
useful,10000000,15967231
useful,10000000,16006867
useful,10000000,16859959
useful,10000000,16189260
useful,10000000,15963921
useful,10000000,16052956
useful,10000000,15902062
useful,10000000,15989831
useful,10000000,15970770
useful,10000000,15946624
useful,10000000,15948344
useful,10000000,15972671
useful,10000000,15903154
useful,10000000,15925166
useful,10000000,15837256
useful,10000000,15961650
useful,10000000,15896091
useful,10000000,15925061
useful,10000000,15943489
useful,10000000,16009497
useful,10000000,16409773
useful,10000000,17101835
useful,10000000,16418729
useful,10000000,16283797
useful,10000000,16113181
useful,10000000,16148672
useful,10000000,16031519
useful,10000000,15945058
useful,10000000,15941623
useful,10000000,15945914
useful,10000000,16076449
useful,10000000,16274575
useful,10000000,16003348
useful,10000000,16082672
useful,10000000,16149362
useful,10000000,15922069
useful,10000000,15967147
useful,10000000,16059040
useful,10000000,16083083
useful,10000000,16001054
useful,10000000,15990608
useful,10000000,16032454
useful,10000000,16151091
useful,10000000,15958556
useful,10000000,15921345
useful,10000000,16018112
useful,10000000,16000985
useful,10000000,16591799
useful,10000000,16173466
attacker,10000000,6155280
attacker,10000000,6133633
attacker,10000000,6128171
attacker,10000000,6084109
attacker,10000000,6117442
attacker,10000000,6053061
attacker,10000000,6079517
attacker,10000000,6131637
attacker,10000000,6093767
attacker,10000000,6108543
attacker,10000000,6171751
attacker,10000000,6093973
attacker,10000000,6112980
attacker,10000000,6075049
attacker,10000000,6085011
attacker,10000000,6086094
attacker,10000000,6080461
attacker,10000000,6065558
attacker,10000000,6169461
attacker,10000000,6069510
attacker,10000000,6112695
attacker,10000000,6022280
attacker,10000000,6039286
attacker,10000000,6048303
attacker,10000000,6041900
attacker,10000000,6064369
attacker,10000000,6076874
attacker,10000000,6093880
attacker,10000000,6069571
attacker,10000000,6068575
attacker,10000000,6095169
attacker,10000000,6015842
attacker,10000000,6062853
attacker,10000000,6056359
attacker,10000000,6063979
attacker,10000000,6037922
attacker,10000000,6021979
attacker,10000000,6073438
attacker,10000000,6103504
attacker,10000000,6074238
attacker,10000000,6105050
attacker,10000000,6065870
attacker,10000000,6066768
attacker,10000000,6100694
attacker,10000000,6084810
attacker,10000000,6115490
attacker,10000000,6084178
attacker,10000000,6103306
attacker,10000000,6103573
attacker,10000000,6094442
