operation,amount,time
useful,10000000,17081695
useful,10000000,17139120
useful,10000000,16932399
useful,10000000,16963446
useful,10000000,16994290
useful,10000000,17228484
useful,10000000,17144341
useful,10000000,17057872
useful,10000000,17036712
useful,10000000,17025188
useful,10000000,17033799
useful,10000000,17007356
useful,10000000,16918289
useful,10000000,16971523
useful,10000000,17088892
useful,10000000,17404649
useful,10000000,18187523
useful,10000000,17117032
useful,10000000,17046646
useful,10000000,17981743
useful,10000000,17446083
useful,10000000,17121748
useful,10000000,17154501
useful,10000000,17207752
useful,10000000,17220262
useful,10000000,17116729
useful,10000000,16928970
useful,10000000,16999832
useful,10000000,17076540
useful,10000000,17049460
useful,10000000,17101348
useful,10000000,17004816
useful,10000000,17029307
useful,10000000,16978075
useful,10000000,16918846
useful,10000000,17013631
useful,10000000,16981188
useful,10000000,16921211
useful,10000000,16963986
useful,10000000,17095435
useful,10000000,17017765
useful,10000000,17156038
useful,10000000,17073168
useful,10000000,17068076
useful,10000000,16990012
useful,10000000,16976786
useful,10000000,16931153
useful,10000000,17000417
useful,10000000,16967621
useful,10000000,16973703
attacker,10000000,6430094
attacker,10000000,6675360
attacker,10000000,6871356
attacker,10000000,6773433
attacker,10000000,6796079
attacker,10000000,6609272
attacker,10000000,6609541
attacker,10000000,6576786
attacker,10000000,6570714
attacker,10000000,6512364
attacker,10000000,7025890
attacker,10000000,6599563
attacker,10000000,6586698
attacker,10000000,6660086
attacker,10000000,6569885
attacker,10000000,6551896
attacker,10000000,6597279
attacker,10000000,6563454
attacker,10000000,6744903
attacker,10000000,6807807
attacker,10000000,6829805
attacker,10000000,6477124
attacker,10000000,6490501
attacker,10000000,6659653
attacker,10000000,6648558
attacker,10000000,6577034
attacker,10000000,6581714
attacker,10000000,6529002
attacker,10000000,6578077
attacker,10000000,6564336
attacker,10000000,6594964
attacker,10000000,6597902
attacker,10000000,6673860
attacker,10000000,6574695
attacker,10000000,6569759
attacker,10000000,6567461
attacker,10000000,6611084
attacker,10000000,6598454
attacker,10000000,6552540
attacker,10000000,6621202
attacker,10000000,6615853
attacker,10000000,6608508
attacker,10000000,6636839
attacker,10000000,6625987
attacker,10000000,6593593
attacker,10000000,6582851
attacker,10000000,6573777
attacker,10000000,6721577
attacker,10000000,6679334
attacker,10000000,6491532
useful,10000000,17318113
useful,10000000,17480374
useful,10000000,17424089
useful,10000000,17286657
useful,10000000,17529751
useful,10000000,17204732
useful,10000000,17198113
useful,10000000,17203768
useful,10000000,17297611
useful,10000000,17281226
useful,10000000,17352107
useful,10000000,17423623
useful,10000000,17468469
useful,10000000,17388363
useful,10000000,17477885
useful,10000000,17393277
useful,10000000,17523942
useful,10000000,17399296
useful,10000000,17420533
useful,10000000,17430947
useful,10000000,17871635
useful,10000000,18596946
useful,10000000,17873747
useful,10000000,17972371
useful,10000000,17644176
useful,10000000,18652671
useful,10000000,17911520
useful,10000000,18791490
useful,10000000,18012654
useful,10000000,17962887
useful,10000000,18201228
useful,10000000,18937343
useful,10000000,17817487
useful,10000000,17544256
useful,10000000,17471335
useful,10000000,17584423
useful,10000000,17732179
useful,10000000,17814009
useful,10000000,17429299
useful,10000000,17351900
useful,10000000,17767798
useful,10000000,18021336
useful,10000000,17838182
useful,10000000,17115305
useful,10000000,17867583
useful,10000000,18039293
useful,10000000,18226529
useful,10000000,17782067
useful,10000000,17630199
useful,10000000,17313531
attacker,10000000,6487647
attacker,10000000,6740209
attacker,10000000,6601489
attacker,10000000,6870847
attacker,10000000,6761328
attacker,10000000,6474463
attacker,10000000,6549198
attacker,10000000,6699241
attacker,10000000,6592298
attacker,10000000,6843669
attacker,10000000,6919591
attacker,10000000,6842960
attacker,10000000,6829946
attacker,10000000,6641277
attacker,10000000,6732808
attacker,10000000,7000475
attacker,10000000,7065063
attacker,10000000,6824748
attacker,10000000,6950320
attacker,10000000,6877344
attacker,10000000,6962695
attacker,10000000,6881911
attacker,10000000,6533563
attacker,10000000,6922525
attacker,10000000,7282370
attacker,10000000,7215844
attacker,10000000,7217748
attacker,10000000,7181868
attacker,10000000,6983452
attacker,10000000,6898269
attacker,10000000,7105546
attacker,10000000,7207347
attacker,10000000,6895577
attacker,10000000,6734480
attacker,10000000,6639415
attacker,10000000,6671943
attacker,10000000,6855636
attacker,10000000,6951988
attacker,10000000,6828827
attacker,10000000,6566502
attacker,10000000,6486783
attacker,10000000,6712080
attacker,10000000,6898655
attacker,10000000,6688010
attacker,10000000,6628953
attacker,10000000,6954377
attacker,10000000,6623169
attacker,10000000,6710852
attacker,10000000,6967000
attacker,10000000,6989195
