operation,amount,time
addition,10000000,555517
addition,10000000,584361
addition,10000000,549312
addition,10000000,548403
addition,10000000,544972
addition,10000000,537548
addition,10000000,538597
addition,10000000,577249
addition,10000000,545406
addition,10000000,550274
addition,10000000,595461
addition,10000000,673505
addition,10000000,550052
addition,10000000,544505
addition,10000000,526131
addition,10000000,528019
addition,10000000,537076
addition,10000000,540231
addition,10000000,537713
addition,10000000,541408
addition,10000000,524442
addition,10000000,528299
addition,10000000,534719
addition,10000000,563090
addition,10000000,593712
addition,10000000,641474
addition,10000000,532458
addition,10000000,542140
addition,10000000,544447
addition,10000000,533274
addition,10000000,541021
addition,10000000,532129
addition,10000000,534687
addition,10000000,520309
addition,10000000,540685
addition,10000000,542947
addition,10000000,537338
addition,10000000,548087
addition,10000000,649077
addition,10000000,520633
addition,10000000,540865
addition,10000000,531966
addition,10000000,527195
addition,10000000,541145
addition,10000000,536327
addition,10000000,530499
addition,10000000,544072
addition,10000000,537898
addition,10000000,543265
addition,10000000,536017
substraction,10000000,604114
substraction,10000000,596171
substraction,10000000,592822
substraction,10000000,588738
substraction,10000000,599611
substraction,10000000,610795
substraction,10000000,600155
substraction,10000000,597163
substraction,10000000,626860
substraction,10000000,615242
substraction,10000000,609055
substraction,10000000,623065
substraction,10000000,661672
substraction,10000000,537749
substraction,10000000,543124
substraction,10000000,539769
substraction,10000000,535581
substraction,10000000,538395
substraction,10000000,545754
substraction,10000000,532809
substraction,10000000,536514
substraction,10000000,518476
substraction,10000000,534169
substraction,10000000,525943
substraction,10000000,533914
substraction,10000000,681459
substraction,10000000,549011
substraction,10000000,544200
substraction,10000000,529034
substraction,10000000,535983
substraction,10000000,539323
substraction,10000000,530430
substraction,10000000,519417
substraction,10000000,540375
substraction,10000000,537923
substraction,10000000,535774
substraction,10000000,546812
substraction,10000000,552910
substraction,10000000,537482
substraction,10000000,612188
substraction,10000000,541267
substraction,10000000,541559
substraction,10000000,540744
substraction,10000000,536201
substraction,10000000,580221
substraction,10000000,545766
substraction,10000000,547320
substraction,10000000,545670
substraction,10000000,545643
substraction,10000000,529753
multiplication,10000000,603596
multiplication,10000000,608221
multiplication,10000000,565298
multiplication,10000000,604042
multiplication,10000000,606329
multiplication,10000000,593401
multiplication,10000000,579595
multiplication,10000000,568325
multiplication,10000000,614090
multiplication,10000000,571195
multiplication,10000000,650835
multiplication,10000000,537000
multiplication,10000000,533025
multiplication,10000000,520214
multiplication,10000000,540089
multiplication,10000000,537820
multiplication,10000000,511078
multiplication,10000000,512289
multiplication,10000000,505210
multiplication,10000000,531599
multiplication,10000000,518792
multiplication,10000000,540325
multiplication,10000000,599336
multiplication,10000000,581811
multiplication,10000000,620155
multiplication,10000000,540636
multiplication,10000000,532527
multiplication,10000000,518331
multiplication,10000000,547662
multiplication,10000000,532319
multiplication,10000000,556195
multiplication,10000000,538898
multiplication,10000000,537003
multiplication,10000000,519676
multiplication,10000000,515573
multiplication,10000000,504271
multiplication,10000000,507596
multiplication,10000000,625094
multiplication,10000000,521462
multiplication,10000000,517691
multiplication,10000000,529230
multiplication,10000000,522859
multiplication,10000000,527681
multiplication,10000000,508828
multiplication,10000000,519479
multiplication,10000000,543756
multiplication,10000000,516956
multiplication,10000000,528932
multiplication,10000000,534095
multiplication,10000000,527883
division,10000000,611576
division,10000000,611039
division,10000000,606232
division,10000000,591642
division,10000000,583752
division,10000000,648493
division,10000000,546344
division,10000000,562372
division,10000000,563799
division,10000000,536688
division,10000000,565134
division,10000000,600891
division,10000000,602438
division,10000000,604629
division,10000000,616444
division,10000000,614173
division,10000000,613223
division,10000000,612777
division,10000000,678825
division,10000000,544382
division,10000000,525191
division,10000000,534708
division,10000000,526744
division,10000000,547690
division,10000000,543570
division,10000000,523017
division,10000000,524051
division,10000000,550756
division,10000000,529315
division,10000000,527954
division,10000000,527988
division,10000000,520180
division,10000000,621024
division,10000000,536761
division,10000000,548990
division,10000000,541557
division,10000000,546007
division,10000000,524503
division,10000000,531103
division,10000000,537684
division,10000000,545342
division,10000000,548074
division,10000000,523469
division,10000000,538345
division,10000000,548099
division,10000000,624085
division,10000000,536770
division,10000000,540939
division,10000000,528265
division,10000000,535044
smaller than,10000000,509965
smaller than,10000000,506362
smaller than,10000000,513236
smaller than,10000000,508009
smaller than,10000000,511796
smaller than,10000000,508789
smaller than,10000000,497610
smaller than,10000000,506647
smaller than,10000000,512371
smaller than,10000000,501718
smaller than,10000000,497204
smaller than,10000000,556536
smaller than,10000000,486659
smaller than,10000000,492557
smaller than,10000000,502423
smaller than,10000000,498882
smaller than,10000000,508060
smaller than,10000000,513935
smaller than,10000000,516710
smaller than,10000000,511898
smaller than,10000000,507947
smaller than,10000000,505732
smaller than,10000000,489300
smaller than,10000000,494114
smaller than,10000000,486074
smaller than,10000000,494528
smaller than,10000000,541557
smaller than,10000000,557122
smaller than,10000000,560332
smaller than,10000000,552125
smaller than,10000000,562828
smaller than,10000000,561996
smaller than,10000000,496891
smaller than,10000000,500582
smaller than,10000000,515220
smaller than,10000000,491094
smaller than,10000000,507866
smaller than,10000000,496228
smaller than,10000000,515264
smaller than,10000000,506111
smaller than,10000000,495647
smaller than,10000000,519264
smaller than,10000000,508750
smaller than,10000000,501706
smaller than,10000000,507759
smaller than,10000000,491957
smaller than,10000000,489648
smaller than,10000000,511666
smaller than,10000000,514651
smaller than,10000000,509339
greater than,10000000,541743
greater than,10000000,548322
greater than,10000000,550742
greater than,10000000,557714
greater than,10000000,543597
greater than,10000000,556345
greater than,10000000,549368
greater than,10000000,544437
greater than,10000000,593086
greater than,10000000,500165
greater than,10000000,503845
greater than,10000000,500721
greater than,10000000,510976
greater than,10000000,541297
greater than,10000000,507542
greater than,10000000,499025
greater than,10000000,501744
greater than,10000000,531895
greater than,10000000,554180
greater than,10000000,545866
greater than,10000000,543941
greater than,10000000,527840
greater than,10000000,526733
greater than,10000000,525265
greater than,10000000,521541
greater than,10000000,539802
greater than,10000000,532553
greater than,10000000,532196
greater than,10000000,591591
greater than,10000000,499688
greater than,10000000,516392
greater than,10000000,517534
greater than,10000000,505048
greater than,10000000,508228
greater than,10000000,505851
greater than,10000000,511831
greater than,10000000,512661
greater than,10000000,510367
greater than,10000000,518178
greater than,10000000,501076
greater than,10000000,507017
greater than,10000000,510060
greater than,10000000,510246
greater than,10000000,508344
greater than,10000000,509559
greater than,10000000,511714
greater than,10000000,509059
greater than,10000000,487129
greater than,10000000,553841
greater than,10000000,500671
equals,10000000,459692
equals,10000000,454534
equals,10000000,449043
equals,10000000,442434
equals,10000000,448212
equals,10000000,434467
