operation,amount,time,weights,simple_score,advanced_score,simple_score_per_ms,advanced_score_per_ms
addition,10000000.0,2102068.97,1.0759,10000000.0,10759000.0,4.757217837624043,5.118290671499707
concat,10000000.0,2715007.79,1.3888,10000000.0,13888000.0,3.6832306842110385,5.1152707742322905
division,10000000.0,2128186.62,1.0788,10000000.0,10788000.0,4.6988360447449855,5.0691043250708905
equals,10000000.0,1946503.03,1.0,10000000.0,10000000.0,5.137418152387875,5.137418152387875
fib,10000000.0,4219125.77,2.1719,10000000.0,21719000.0,2.3701592569495746,5.1477488901687805
greater than,10000000.0,2056729.78,1.0504,10000000.0,10504000.0,4.862087425018954,5.107136631239909
isPrime,10000000.0,2933924.78,1.5048,10000000.0,15048000.0,3.4084036742073534,5.128965848947225
len,10000000.0,2624920.31,1.3501,10000000.0,13501000.0,3.8096394629214476,5.143394238890246
multiplication,10000000.0,2084798.91,1.0714,10000000.0,10714000.0,4.7966256851122395,5.139104759029253
not equals,10000000.0,1944568.64,1.0027,10000000.0,10027000.0,5.142528679265341,5.156413506699358
pow,10000000.0,3567346.15,1.8023,10000000.0,18023000.0,2.8032042811432807,5.052215075904535
rand,10000000.0,6433225.05,3.3182,10000000.0,33182000.0,1.554430308636568,5.15791065011786
sin,10000000.0,2859165.95,1.4649,10000000.0,14649000.0,3.497523464841206,5.123522123645883
smaller than,10000000.0,2012978.92,1.0355,10000000.0,10355000.0,4.967761907809745,5.144117455536991
sqrt,10000000.0,2568113.36,1.3203,10000000.0,13203000.0,3.8939091068783664,5.141128193811507
substraction,10000000.0,2095295.19,1.0779,10000000.0,10779000.0,4.772597220537694,5.1443825440175805
tan,10000000.0,2909847.4,1.4932,10000000.0,14932000.0,3.4366063320021527,5.131540574945614
