operation,amount,time,weights
addition,10000000.0,2081684.5,1.0759
concat,10000000.0,2687075.0,1.3888
division,10000000.0,2087282.0,1.0788
equals,10000000.0,1934806.5,1.0
fib,10000000.0,4202173.5,2.1719
greater than,10000000.0,2032372.0,1.0504
isPrime,10000000.0,2911438.5,1.5048
len,10000000.0,2612196.5,1.3501
multiplication,10000000.0,2072974.5,1.0714
not equals,10000000.0,1939934.5,1.0027
pow,10000000.0,3487122.0,1.8023
rand,10000000.0,6420086.0,3.3182
sin,10000000.0,2834315.0,1.4649
smaller than,10000000.0,2003459.0,1.0355
sqrt,10000000.0,2554594.5,1.3203
substraction,10000000.0,2085527.5,1.0779
tan,10000000.0,2889048.5,1.4932
