operation,amount,time,weights
addition,10000000.0,542227.5,1.194
concat,10000000.0,915230.5,2.0154
division,10000000.0,546259.5,1.2029
equals,10000000.0,454127.5,1.0
fib,10000000.0,2144055.0,4.7213
greater than,10000000.0,514965.0,1.134
isPrime,10000000.0,1067519.5,2.3507
len,10000000.0,845393.5,1.8616
multiplication,10000000.0,539801.0,1.1887
not equals,10000000.0,458836.0,1.0104
pow,10000000.0,1541698.0,3.3949
rand,10000000.0,3897619.0,8.5827
sin,10000000.0,899833.5,1.9815
smaller than,10000000.0,503384.5,1.1085
sqrt,10000000.0,743530.0,1.6373
substraction,10000000.0,547601.5,1.2058
tan,10000000.0,873716.0,1.9239
